"","bin_count","bin_range","age","n","freq"
"116",20,"(854,875]","51",26,0.896551724137931
"117",20,"(875,896]","51",5,1
"118",20,"(896,916]","51",2,1
"119",8,"(506,557]","31",61,0.709302325581395
"120",8,"(506,557]","41",24,0.27906976744186
"121",8,"(506,557]","51",1,0.0116279069767442
"122",8,"(557,608]","31",433,0.688394276629571
"123",8,"(557,608]","41",183,0.29093799682035
"124",8,"(557,608]","51",13,0.0206677265500795
"125",8,"(608,660]","31",627,0.29108635097493
"126",8,"(608,660]","41",1437,0.667130919220056
"127",8,"(608,660]","51",90,0.0417827298050139
"128",8,"(660,711]","31",207,0.0429728046501972
"129",8,"(660,711]","41",4111,0.853435748391115
"130",8,"(660,711]","51",499,0.103591446958688
"131",8,"(711,762]","31",54,0.012311901504788
"132",8,"(711,762]","41",3019,0.688326493388053
"133",8,"(711,762]","51",1313,0.299361605107159
"134",8,"(762,814]","31",12,0.00688468158347676
"135",8,"(762,814]","41",540,0.309810671256454
"136",8,"(762,814]","51",1191,0.683304647160069
"137",8,"(814,865]","31",1,0.00304878048780488
"138",8,"(814,865]","41",32,0.0975609756097561
"139",8,"(814,865]","51",295,0.899390243902439
"140",8,"(865,916]","41",1,0.0666666666666667
"141",8,"(865,916]","51",14,0.933333333333333
